"topic","key_words"
"topic_1","fight donate fund fg govt nigeria nigerian food relief bank"
"topic_2","say world us china people country lockdown die outbreak new"
"topic_3","amp health response nigeria update live ncdc disease nigerian brief"
"topic_4","spread president lockdown government measure national state track coronavirussa order"
"topic_5","health fight worker country government president support need face economy"
"topic_6","health amp test komeshacorona worker hospital care disease symptom news"
"topic_7","test quarantine positive patient lockdown isolation say state hospital governor"
"topic_8","case confirm test new positive total patient nigeria report discharge"
"topic_9","people hand covid19ug amp spread can distance social take home"
"topic_10","africa case death african country south china report first amp"
